,Q_HC,T_op,T_ext,Q_H,Q_C
2009-05-06 23:00:00,0.0,18.371179478282286,9.23,0.0,0.0
2009-05-07 00:00:00,0.0,17.92968569690433,8.31,0.0,0.0
2009-05-07 01:00:00,0.0,17.738321781462176,7.59,0.0,0.0
2009-05-07 02:00:00,0.0,17.592876803923364,6.8,0.0,0.0
2009-05-07 03:00:00,0.0,17.459517980886858,6.21,0.0,0.0
2009-05-07 04:00:00,0.0,17.331069342931883,5.79,0.0,0.0
2009-05-07 05:00:00,8375.135320058393,20.0,5.32,8375.135320058393,0.0
2009-05-07 06:00:00,7026.673296235708,20.0,5.15,7026.673296235708,0.0
2009-05-07 07:00:00,6529.5437074036745,20.0,7.09,6529.5437074036745,0.0
2009-05-07 08:00:00,6053.546184829399,20.0,9.32,6053.546184829399,0.0
2009-05-07 09:00:00,5763.749434736246,20.000000000000004,11.03,5763.749434736246,0.0
2009-05-07 10:00:00,5407.395808999261,20.0,12.43,5407.395808999261,0.0
2009-05-07 11:00:00,5074.440112115211,19.999999999999996,13.39,5074.440112115211,0.0
2009-05-07 12:00:00,4736.844159224682,20.0,14.11,4736.844159224682,0.0
2009-05-07 13:00:00,4429.226537940788,20.0,14.46,4429.226537940788,0.0
2009-05-07 14:00:00,4161.176759055214,20.0,15.04,4161.176759055214,0.0
2009-05-07 15:00:00,4026.1575013448746,20.0,14.95,4026.1575013448746,0.0
2009-05-07 16:00:00,3893.5573572091744,20.0,14.78,3893.5573572091744,0.0
2009-05-07 17:00:00,3967.375740227513,20.0,13.72,3967.375740227513,0.0
2009-05-07 18:00:00,4139.199592576355,20.0,12.6,4139.199592576355,0.0
2009-05-07 19:00:00,4347.448878888358,20.0,11.31,4347.448878888358,0.0
2009-05-07 20:00:00,4611.0524127679055,20.0,9.92,4611.0524127679055,0.0
2009-05-07 21:00:00,4714.869914151896,20.000000000000004,9.77,4714.869914151896,0.0
2009-05-07 22:00:00,4803.633081534039,20.0,9.7,4803.633081534039,0.0
2009-05-07 23:00:00,0.0,18.398559700647958,9.0,0.0,0.0
2009-05-08 00:00:00,0.0,17.962807896308234,8.15,0.0,0.0
2009-05-08 01:00:00,0.0,17.77374451662555,7.5,0.0,0.0
2009-05-08 02:00:00,0.0,17.633273060574297,6.88,0.0,0.0
2009-05-08 03:00:00,0.0,17.503072158982704,6.35,0.0,0.0
2009-05-08 04:00:00,0.0,17.38009970582003,6.06,0.0,0.0
2009-05-08 05:00:00,8216.486159737027,20.0,5.59,8216.486159737027,0.0
2009-05-08 06:00:00,6835.841101582129,20.0,5.72,6835.841101582129,0.0
2009-05-08 07:00:00,6477.815474917895,19.999999999999996,7.19,6477.815474917895,0.0
